chunk_id,doc_id,title,department,access_level,text,created_at,updated_at
DOC0001_C01,DOC0001,Политика информационной безопасности компании,IT,internal,"Информационная безопасность компании направлена на защиту корпоративных данных, клиентской информации и внутренней инфраструктуры от несанкционированного доступа, утечек и технических сбоев. Под корпоративными данными понимаются документы, исходный код, финансовая отчётность, коммерческие предложения, персональные данные сотрудников и клиентов, а также любая внутренняя переписка. Каждый сотрудник несёт персональную ответственность за соблюдение правил безопасности при работе с информацией.",,
DOC0001_C02,DOC0001,Политика информационной безопасности компании,IT,internal,"Доступ к внутренним системам осуществляется только по корпоративной учётной записи с обязательной двухфакторной аутентификацией. Передача логинов, паролей, токенов и ключей доступа третьим лицам запрещена. Использование личных почтовых ящиков или сторонних облачных сервисов для хранения рабочих файлов допускается только при официальном согласовании с IT-службой.",,
DOC0001_C03,DOC0001,Политика информационной безопасности компании,IT,internal,"Корпоративные устройства должны иметь включённое шифрование диска, активный антивирус и автоматические обновления системы. Самостоятельное отключение средств защиты, изменение настроек безопасности или установка нелицензионного программного обеспечения запрещены. В случае подозрения на заражение устройства необходимо немедленно сообщить в IT-службу.",,
DOC0001_C04,DOC0001,Политика информационной безопасности компании,IT,internal,При удалённой работе подключение к внутренним ресурсам осуществляется исключительно через VPN. Использование публичных Wi-Fi сетей без защищённого соединения запрещено. Рабочие файлы должны храниться только в корпоративных хранилищах с разграничением прав доступа.,,
DOC0001_C05,DOC0001,Политика информационной безопасности компании,IT,internal,"В случае выявления инцидента информационной безопасности сотрудник обязан незамедлительно уведомить IT и своего руководителя. Сокрытие инцидента, даже если последствия кажутся незначительными, рассматривается как нарушение политики компании. По итогам расследования разрабатываются корректирующие меры для предотвращения повторения подобных ситуаций.",,
DOC0002_C01,DOC0002,Процесс онбординга новых сотрудников,HR,internal,"Онбординг нового сотрудника начинается с момента подписания оффера и включает административную подготовку, техническое обеспечение и адаптацию в команде. До первого рабочего дня HR формирует карточку сотрудника в системе, инициирует создание корпоративной почты и учётных записей, а также направляет информацию о графике и формате работы. Руководитель подразделения определяет задачи на испытательный срок и назначает наставника.",,
DOC0002_C02,DOC0002,Процесс онбординга новых сотрудников,HR,internal,"В первый рабочий день сотрудник получает корпоративное оборудование, доступ к внутренним системам и приглашения в рабочие каналы коммуникации. Обязательно проводится вводный инструктаж по информационной безопасности, правилам хранения данных и использованию корпоративных сервисов. Подтверждение прохождения инструктажа фиксируется в HR-системе.",,
DOC0002_C03,DOC0002,Процесс онбординга новых сотрудников,HR,internal,"В течение первых двух недель сотрудник знакомится с внутренними процессами, регламентами и структурой компании. Наставник отвечает на вопросы, помогает настроить рабочее окружение и объясняет особенности взаимодействия с другими подразделениями. Руководитель проводит регулярные встречи для оценки прогресса и корректировки приоритетов.",,
DOC0002_C04,DOC0002,Процесс онбординга новых сотрудников,HR,internal,Испытательный срок сопровождается постановкой измеримых целей и критериев оценки эффективности. Все договорённости фиксируются в системе управления задачами. В случае необходимости предоставляется дополнительное обучение или пересмотр объёма ответственности.,,
DOC0002_C05,DOC0002,Процесс онбординга новых сотрудников,HR,internal,"По завершении испытательного срока проводится итоговая оценка. Руководитель и сотрудник обсуждают достигнутые результаты, зоны роста и дальнейший план развития. Решение о подтверждении позиции оформляется официально и отражается в кадровой системе.",,
DOC0003_C01,DOC0003,Управление проектами и контроль исполнения,OPS,internal,"Каждый проект в компании должен иметь формализованную цель, ожидаемый результат, сроки реализации и назначенного руководителя проекта. До начала работ формируется краткое описание проекта, в котором фиксируются бизнес-цели, заинтересованные стороны и основные ограничения по бюджету и ресурсам. Проект регистрируется в системе управления задачами с указанием статуса и приоритетности.",,
DOC0003_C02,DOC0003,Управление проектами и контроль исполнения,OPS,internal,"Планирование проекта включает декомпозицию задач, определение ответственных исполнителей и контрольных точек. Все ключевые этапы фиксируются в календаре. Изменение сроков или объёма работ требует предварительного согласования с заказчиком проекта и отражается в системе как изменение версии плана.",,
DOC0003_C03,DOC0003,Управление проектами и контроль исполнения,OPS,internal,"Контроль исполнения осуществляется через регулярные статус-встречи и обновление задач в системе. Руководитель проекта обязан отслеживать отклонения по срокам и ресурсам, своевременно выявлять риски и информировать заинтересованные стороны о возможных задержках.",,
DOC0003_C04,DOC0003,Управление проектами и контроль исполнения,OPS,internal,"В случае изменения требований оформляется запрос на изменение (change request), где описываются новые условия, влияние на бюджет и сроки. Изменения вступают в силу только после официального согласования и обновления проектной документации.",,
DOC0003_C05,DOC0003,Управление проектами и контроль исполнения,OPS,internal,"По завершении проекта проводится итоговая встреча с анализом достигнутых результатов, соблюдения бюджета и сроков. Формируется отчёт, включающий выводы и рекомендации для будущих проектов. Документация архивируется в базе знаний для последующего использования.",,
DOC0004_C01,DOC0004,Финансовый контроль и согласование расходов,FIN,restricted,"Финансовый контроль в компании направлен на обеспечение прозрачности расходов, соблюдение утверждённого бюджета и предотвращение несанкционированных трат. Все расходы, связанные с проектами или операционной деятельностью, должны быть заранее согласованы в установленном порядке. Ответственный сотрудник обязан указать цель расхода, предполагаемую сумму и источник финансирования.",,
DOC0004_C02,DOC0004,Финансовый контроль и согласование расходов,FIN,restricted,"Согласование расходов осуществляется через корпоративную финансовую систему. В заявке указываются категория затрат, проект или подразделение, а также прикладываются подтверждающие документы или коммерческие предложения. Расходы, превышающие установленный лимит, требуют дополнительного утверждения руководства.",,
DOC0004_C03,DOC0004,Финансовый контроль и согласование расходов,FIN,restricted,"Фактические расходы подлежат обязательному подтверждению первичными документами: счетами, актами, чеками или договорами. Отсутствие подтверждающих документов может привести к отказу в компенсации или оплате. Ответственность за корректность предоставленных данных несёт инициатор расхода.",,
DOC0004_C04,DOC0004,Финансовый контроль и согласование расходов,FIN,restricted,Ежемесячно проводится сверка плановых и фактических показателей. При выявлении отклонений финансовый отдел инициирует дополнительный анализ причин перерасхода или экономии бюджета. Результаты анализа используются для корректировки финансового плана.,,
DOC0004_C05,DOC0004,Финансовый контроль и согласование расходов,FIN,restricted,Несанкционированные расходы или нарушение процедуры согласования рассматриваются как нарушение внутреннего регламента. В зависимости от характера нарушения могут применяться дисциплинарные меры или пересмотр бюджетных полномочий сотрудника.,,
DOC0005_C01,DOC0005,Управление доступом к IT-инфраструктуре и серверам,IT,restricted,"Доступ к серверам, базам данных и инфраструктурным компонентам предоставляется строго по принципу служебной необходимости. Запрос на доступ оформляется через сервис-деск с указанием конкретного ресурса, требуемого уровня прав и срока действия доступа. Все заявки должны быть согласованы руководителем подразделения и владельцем системы.",,
DOC0005_C02,DOC0005,Управление доступом к IT-инфраструктуре и серверам,IT,restricted,"Администраторы инфраструктуры предоставляют доступ только после проверки обоснования запроса. Временные доступы оформляются с автоматической датой истечения. Использование общих учётных записей запрещено, за исключением случаев, когда это технически необходимо и задокументировано.",,
DOC0005_C03,DOC0005,Управление доступом к IT-инфраструктуре и серверам,IT,restricted,Все действия пользователей в критических системах журналируются. Логи хранятся в централизованной системе и могут быть использованы для аудита или расследования инцидентов. Попытки обхода механизмов авторизации рассматриваются как нарушение политики безопасности.,,
DOC0005_C04,DOC0005,Управление доступом к IT-инфраструктуре и серверам,IT,restricted,"Доступы пересматриваются при смене роли сотрудника, переводе в другое подразделение или завершении проекта. Руководители обязаны своевременно уведомлять IT о необходимости изменения прав доступа.",,
DOC0005_C05,DOC0005,Управление доступом к IT-инфраструктуре и серверам,IT,restricted,При увольнении сотрудника блокировка всех инфраструктурных доступов осуществляется в день прекращения трудовых отношений. Ответственность за своевременную передачу информации о дате увольнения несёт HR-служба.,,
DOC0006_C01,DOC0006,Отпуска и управление отсутствием сотрудников,HR,internal,Ежегодный оплачиваемый отпуск предоставляется сотрудникам в соответствии с трудовым договором и внутренними правилами компании. График отпусков формируется заранее на календарный год с учётом производственной нагрузки и приоритетов подразделений. Сотрудник обязан согласовать предполагаемые даты с непосредственным руководителем до подачи официальной заявки.,,
